id,value
input,
input/images,
input/css,
input/js,
input/images/n_3.png,6,1
input/css/wind.css,6,1
input/images/n_7.png,6,1
input/js/sensors.js,12,2
input/images/n_11.png,6,1
input/css/pressure.css,6,1
input/js/scale.js,6,1
input/images/n_0.png,6,1
input/.project,6,1
input/images/n_4.png,6,1
input/images/n_12.png,6,1
input/css/tacho.css,6,1
input/js/sensors.js,6,1
input/images/n_1.png,6,1
input/images/n_5.png,6,1
input/images/n_13.png,6,1
input/css/thermometer.css,6,1
input/js/settings.js,12,2
input/images/n_2.png,6,1
input/index.html,6,1
input/css/thermometer_blue.css,6,1
input/images/thermometer_inner_top.png,6,1
input/js/settings.js,6,1
input/images/thermometer_lower.png,6,1
input/images/n_8.png,6,1
input/images/thermometer_upper.png,6,1
input/images/n_9.png,6,1
input/css/imports.css,6,1
input/Weather Station User Manual.xml,6,1
input/images/n_6.png,6,1
input/images/n_10.png,6,1
input/images/tacho.png,6,1
input/css/main.css,6,1
